Districts,Longitude,Latitude
Achham,81.2519,29.0396
Arghakhanchi,83.0361,27.9829
Baglung,83.2201,28.3491
Baitadi,80.4688,29.5186
Bajhang,81.2519,29.7767
Bajura,81.6035,29.6155
Banke,81.7787,28.1461
Bara,85.0649,27.1341
Bardiya,81.4279,28.3102
Bhaktapur,85.4298,27.671
Bhojpur,87.0524,27.178
Chitwan,84.3542,27.5291
Dadeldhura,80.4994,29.2188
Dailekh,81.6473,28.9262
Dang,82.3018,27.9904
Darchula,80.7948,29.9038
Dhading,84.8985,27.9711
Dhankuta,87.3215,26.9835
Dhanusa,86.0122,26.835
Dolakha,86.1752,27.7784
Dolpa,83.0791,29.0539
Doti,80.8987,29.2006
Gorkha,84.7925,28.2512
Gulmi,83.2934,28.0889
Humla,81.9535,30.0052
Ilam,87.9335,26.876
Jajarkot,82.1558,28.8615
Jhapa,87.8942,26.6398
Jumla,82.1278,29.2788
Kailali,80.8092,28.7413
Kalikot,81.7349,29.2089
Kanchanpur,80.3213,28.8372
Kapilbastu,83.0469,27.5518
Kaski,84.0167,28.2622
Kathmandu,85.324,27.7172
Kavrepalanchok,85.5612,27.5259
Khotang,86.822,27.2317
Lalitpur,85.3225,27.658
Lamjung,84.3542,28.2765
Mahottari,85.8077,26.8762
Makwanpur,85.0233,27.5546
Manang,84.2308,28.6918
Morang,87.4604,26.6799
Mugu,82.3466,29.6141
Mustang,83.8473,28.9985
Myagdi,83.3362,28.6029
Nawalparasi(E),84.0331,27.6568
Nawalparasi(W),83.6665,27.5328
Nuwakot,85.1661,27.9194
Okhaldhunga,86.5047,27.324
Palpa,83.6348,27.8253
Panchthar,87.7781,27.1044
Parbat,83.6987,28.178
Parsa,84.8568,27.1736
Pyuthan,82.8533,28.1017
Ramechhap,86.1345,27.3554
Rasuwa,85.3136,28.1727
Rautahat,85.3136,27.0487
Rolpa,82.6483,28.3816
Rukum(E),82.8548,28.6641
Rukum(W),82.4359,28.7436
Rupandehi,83.4463,27.5924
Salyan,82.1278,28.3525
Sankhuwasabha,87.1423,27.6142
Saptari,86.7014,26.6173
Sarlahi,85.5612,26.9627
Sindhuli,85.9713,27.2569
Sindhupalchok,85.6846,27.9512
Siraha,86.3525,26.7333
Solukhumbu,86.6611,27.791
Sunsari,87.1822,26.6276
Surkhet,81.7787,28.5175
Syangja,83.8049,28.0197
Tanahun,84.2279,27.9447
Taplejung,87.7763,27.6257
Terhathum,87.5377,27.1508
Udayapur,86.7014,26.8998
