District,Confirmed,Death,Recovered,Longitude,Latitude
Achham,20,0,2,81.2519,29.0396
Arghakhanchi,62,2,2,83.0361,27.9829
Baglung,41,0,6,83.2201,28.3491
Baitadi,27,0,5,80.4688,29.5186
Bajhang,15,0,0,81.2519,29.7767
Bajura,21,1,0,81.6035,29.6155
Banke,326,2,202,81.7787,28.1461
Bara,101,2,47,85.0649,27.1341
Bardiya,140,0,3,81.4279,28.3102
Bhaktapur,6,0,5,85.4298,27.671
Bhojpur,6,0,1,87.0524,27.178
Chitwan,41,1,5,84.3542,27.5291
Dadeldhura,39,0,6,80.4994,29.2188
Dailekh,638,1,34,81.6473,28.9262
Dang,265,0,39,82.3018,27.9904
Darchula,12,0,1,80.7948,29.9038
Dhading,92,0,3,84.8985,27.9711
Dhankuta,8,0,7,87.3215,26.9835
Dhanusa,231,0,98,86.0122,26.835
Dolakha,2,1,2,86.1752,27.7784
Dolpa,1,1,0,83.0791,29.0539
Doti,33,0,1,80.8987,29.2006
Gorkha,25,0,1,84.7925,28.2512
Gulmi,53,2,3,83.2934,28.0889
Humla,1,0,1,81.9535,30.0052
Ilam,2,0,0,87.9335,26.875999999999998
Jajarkot,8,0,0,82.1558,28.8615
Jhapa,175,0,120,87.8942,26.6398
Jumla,26,0,18,82.1278,29.2788
Kailali,111,1,11,80.8092,28.7413
Kalikot,42,0,24,81.7349,29.2089
Kanchanpur,72,0,1,80.3213,28.8372
Kapilbastu,659,0,40,83.0469,27.5518
Kaski,7,0,1,84.0167,28.2622
Kathmandu,35,0,22,85.324,27.7172
Kavrepalanchok,6,0,1,85.5612,27.5259
Khotang,4,0,1,86.822,27.2317
Lalitpur,4,1,1,85.3225,27.658
Lamjung,1,0,0,84.3542,28.2765
Mahottari,499,0,4,85.8077,26.8762
Makwanpur,6,0,5,85.0233,27.5546
Manang,0,0,0,84.2308,28.6918
Morang,103,0,3,87.4604,26.6799
Mugu,1,0,1,82.3466,29.6141
Mustang,0,0,0,83.8473,28.9985
Myagdi,3,0,0,83.3362,28.6029
Nawalparasi(E),60,0,3,84.0331,27.6568
Nawalparasi(W),50,0,3,83.6665,27.5328
Nuwakot,10,0,1,85.1661,27.9194
Okhaldhunga,0,0,0,86.5047,27.324
Palpa,50,1,1,83.6348,27.8253
Panchthar,3,0,1,87.7781,27.1044
Parbat,29,0,0,83.6987,28.178
Parsa,158,1,106,84.8568,27.1736
Pyuthan,66,0,0,82.8533,28.1017
Ramechhap,22,0,2,86.1345,27.3554
Rasuwa,0,0,0,85.3136,28.1727
Rautahat,1071,0,127,85.3136,27.0487
Rolpa,39,0,0,82.6483,28.3816
Rukum(E),3,0,3,82.8548,28.6641
Rukum(W),1,0,0,82.4359,28.7436
Rupandehi,241,0,56,83.4463,27.5924
Salyan,165,0,0,82.1278,28.3525
Sankhuwasabha,2,0,0,87.1423,27.6142
Saptari,152,0,37,86.7014,26.6173
Sarlahi,540,0,16,85.5612,26.9627
Sindhuli,6,0,1,85.9713,27.2569
Sindhupalchok,4,1,0,85.6846,27.9512
Siraha,80,0,26,86.3525,26.7333
Solukhumbu,1,0,1,86.6611,27.791
Sunsari,60,0,8,87.1822,26.6276
Surkhet,264,1,8,81.7787,28.5175
Syangja,64,1,3,83.8049,28.0197
Tanahun,11,0,0,84.2279,27.9447
Taplejung,4,0,3,87.7763,27.6257
Terhathum,3,0,2,87.5377,27.1508
Udayapur,48,0,28,86.7014,26.8998
